broadband_number,data_usage_mb,login_attempts,bill_amount,payment_delay_days,network_latency_ms,packet_loss_percent,download_speed_mbps
114382418,1899.8,169,165.69,6.0,54.98,1.35,109.18
114410816,2536.44,135,248.53,8.0,43.21,0.66,101.27
114421283,3417.15,127,344.59,9.0,55.64,0.53,104.67
114537356,2965.25,79,288.82,8.0,51.43,0.96,84.52
114559564,3084.89,79,370.01,8.0,50.64,1.04,96.89
114602904,2633.35,58,235.65,8.0,50.3,1.17,101.67
114741468,3237.84,126,301.77,8.0,54.58,0.77,118.49
114780733,4046.12,77,220.24,8.0,51.57,0.75,109.46
114912315,3344.2,106,344.84,9.0,48.45,1.24,96.97
114945008,3233.34,93,171.61,7.0,55.12,1.08,104.7
115020585,4265.14,114,173.47,7.0,48.02,1.08,99.6
115117355,2964.1,104,306.42,5.0,54.67,1.07,93.22
115138346,3424.38,124,369.38,7.0,50.38,1.31,97.29
115153776,3991.36,104,290.45,9.0,49.69,0.63,106.68
115169328,2142.84,120,291.28,7.0,49.42,0.78,106.5
115260652,2749.74,178,463.05,3.0,49.26,0.92,101.34
115300713,3043.42,83,352.04,7.0,51.23,0.94,95.52
115351145,4259.14,96,224.56,5.0,52.97,1.03,98.9
115413552,2549.13,130,375.06,8.0,52.32,1.15,93.95
115415118,2923.32,155,236.35,6.0,49.42,0.97,84.58
115566545,1846.3,146,347.29,7.0,49.73,1.24,108.91
115616864,3608.9,118,250.69,8.0,53.8,1.37,98.89
115681612,3477.02,84,338.39,9.0,48.9,1.18,103.04
115719289,3684.05,85,294.34,2.0,46.42,0.87,97.99
115720636,2979.62,148,301.35,11.0,49.6,0.58,99.52
115806920,3807.44,97,296.14,10.0,56.76,0.89,110.56
115809539,2301.66,88,298.72,7.0,49.71,0.89,101.74
115818924,2818.45,153,352.84,5.0,53.88,0.8,99.77
115833053,2882.12,121,270.32,7.0,50.12,1.02,98.3
115869404,2852.26,139,363.95,8.0,43.3,0.58,98.32
115884483,3515.05,125,352.51,10.0,47.38,0.76,104.22
115926896,3142.65,104,383.55,6.0,47.59,0.84,82.12
116044798,1859.44,122,340.79,7.0,49.98,0.95,114.53
116061849,3904.46,117,325.04,8.0,52.29,1.34,97.13
116065782,3017.32,171,317.09,8.0,50.08,0.94,110.42
116126661,2737.0,124,338.56,5.0,56.12,0.76,87.27
116184486,2561.68,80,291.48,5.0,45.78,0.9,97.21
116190742,2330.35,116,337.18,8.0,50.88,0.94,116.82
116191372,2049.22,84,244.12,8.0,43.18,0.94,95.73
116220335,3197.09,74,304.12,8.0,60.42,0.93,111.91
116259290,2815.74,89,407.17,8.0,43.08,0.91,100.02
116293801,3989.78,198,320.49,4.0,49.3,1.31,87.62
116352247,2520.71,71,268.12,5.0,49.9,1.0,107.88
116464077,2554.2,100,347.73,8.0,57.81,1.28,106.52
116507440,3339.13,153,254.04,7.0,46.7,0.97,102.85
116513403,2647.93,152,209.12,10.0,46.22,0.7,110.61
116566666,2931.17,124,378.79,8.0,50.21,0.8,96.48
116584572,3512.39,52,367.77,6.0,49.24,1.0,101.53
116698211,2675.54,115,273.02,8.0,54.4,1.2,101.6
117000821,4683.78,137,357.44,7.0,47.89,0.61,84.69
117011926,3834.5,124,374.68,5.0,51.42,0.78,115.72
117114417,2085.74,112,344.78,8.0,54.32,1.01,105.89
117158185,3258.8,142,280.75,9.0,45.38,0.96,91.77
117216435,3854.76,79,276.69,8.0,53.91,0.66,92.23
117319382,3397.89,133,370.12,5.0,50.5,1.09,93.68
117325719,3012.21,162,317.08,8.0,49.45,0.87,101.65
117352143,2227.48,151,342.92,10.0,51.35,1.02,108.34
117380372,3199.32,86,332.98,6.0,54.31,1.32,100.69
117466863,3176.14,99,283.5,9.0,53.4,0.63,98.66
117470461,3038.77,114,243.18,9.0,55.88,1.41,106.68
117535610,3093.93,114,216.32,7.0,48.64,0.83,101.71
117568830,2833.08,134,233.49,4.0,54.95,0.71,104.12
117573986,2549.84,127,318.51,9.0,51.58,1.11,96.23
117665690,2315.34,211,366.92,5.0,46.37,0.96,105.2
117807289,3127.12,117,283.11,8.0,59.78,0.73,107.56
117872255,3421.03,96,248.0,6.0,50.66,0.93,97.81
117876589,2642.19,129,366.88,8.0,53.94,1.1,90.25
118020111,2942.75,100,349.73,5.0,50.79,0.69,89.55
118220618,3143.99,129,306.55,6.0,45.58,0.72,104.32
118259711,4499.72,201,274.61,8.0,55.98,1.49,102.04
118271098,3116.33,164,226.19,9.0,53.22,1.29,100.91
118331159,3857.04,56,291.18,10.0,50.9,0.87,97.87
118479488,2622.56,97,338.4,7.0,47.26,0.98,94.86
118506282,4003.39,110,322.04,6.0,47.78,1.33,89.34
118588538,3599.03,129,249.92,3.0,55.37,0.74,91.13
118593949,3264.62,98,260.57,5.0,53.93,0.79,105.89
118703030,3475.1,97,246.38,5.0,48.68,1.38,103.94
118717109,3606.78,93,231.61,6.0,49.11,0.77,96.15
118749813,3697.7,139,368.85,7.0,56.72,1.03,105.7
118751794,3251.51,125,333.42,6.0,48.13,1.22,92.08
118829343,3335.66,137,332.17,7.0,53.66,0.84,101.4
118859569,2824.19,118,327.8,8.0,46.8,0.85,97.7
118859661,3835.22,160,371.26,8.0,55.03,0.92,109.46
118968275,2850.27,151,349.6,6.0,44.99,0.84,95.78
118979633,2791.6,113,348.12,7.0,49.46,1.05,86.77
119072104,3209.24,60,352.37,6.0,42.84,0.73,90.66
119123350,3287.43,201,336.88,8.0,47.67,0.96,95.0
119129124,3058.55,130,326.12,8.0,52.24,1.35,105.17
119143784,2216.86,105,294.07,8.0,49.78,1.24,102.32
119147029,3808.33,76,174.24,9.0,48.95,0.79,108.37
119151335,2772.76,149,306.68,7.0,49.99,0.91,91.72
119248345,2805.69,154,359.42,5.0,49.25,0.94,88.17
119288807,1554.72,95,252.93,10.0,54.02,0.83,102.89
119331691,3332.27,93,251.97,6.0,46.16,1.12,122.24
119339228,2546.99,104,298.98,7.0,51.15,0.31,97.36
119440259,2330.41,190,267.48,4.0,48.44,1.15,107.73
119507344,2664.83,121,310.45,9.0,57.13,0.99,109.5
119560831,2500.86,120,272.37,8.0,53.29,1.01,85.38
119565309,2732.98,156,300.06,8.0,46.61,1.36,84.66
119735433,3220.3,73,336.27,7.0,48.35,0.77,95.27
119753915,2740.14,176,353.34,7.0,56.57,0.6,101.95
119796254,2061.07,86,288.45,8.0,49.38,1.38,109.66
119906002,3441.47,97,191.88,7.0,50.29,0.74,102.88
119959283,3492.41,73,302.41,7.0,43.35,1.11,98.33
119973354,3742.24,120,375.59,7.0,42.97,0.94,105.32
210009362,2275.01,119,373.0,8.0,46.46,1.07,102.98
210135416,3189.71,131,287.03,6.0,52.94,0.86,98.4
210181440,2922.77,111,300.43,6.0,41.31,0.93,94.83
210272919,1904.34,122,351.01,9.0,51.31,0.98,93.21
210351633,3928.32,60,328.74,8.0,56.11,1.19,98.37
210516095,2782.99,131,116.34,10.0,44.99,0.69,99.82
210571517,2547.95,112,285.41,6.0,53.53,0.66,105.22
210615637,2309.94,83,206.43,8.0,56.88,1.04,103.33
210623820,2093.18,116,277.37,4.0,48.8,1.03,97.7
210626329,1693.05,85,330.5,9.0,52.63,1.17,98.97
210849914,1742.27,103,325.37,9.0,47.53,0.95,103.87
210878874,3432.94,123,237.74,6.0,52.78,1.15,101.94
210891355,3662.25,75,182.91,9.0,46.78,1.17,89.02
211009654,3362.22,94,300.45,8.0,55.92,1.16,106.6
211049913,3845.85,166,291.18,8.0,53.94,1.16,101.38
211112501,3022.95,95,194.15,7.0,48.25,1.04,98.41
211143196,3181.04,113,215.15,5.0,43.72,0.88,98.68
211176695,4406.95,99,268.81,6.0,48.14,0.83,90.43
211259737,2836.6,121,327.34,8.0,40.19,0.95,106.33
211313486,2409.76,79,296.12,6.0,53.28,1.02,80.05
211425765,2780.45,94,359.82,10.0,45.91,0.8,97.54
211458830,3446.47,175,242.5,5.0,51.01,1.07,97.88
211477183,2876.16,111,195.34,6.0,50.82,0.83,90.96
211660594,2244.41,126,235.15,8.0,45.19,1.12,90.24
211681777,2115.98,85,274.78,8.0,44.71,0.92,96.5
211800601,3227.02,106,436.41,7.0,55.1,1.33,102.03
211812003,2394.1,115,313.44,6.0,49.08,1.14,85.44
211912192,2472.07,76,235.08,6.0,51.3,0.78,95.12
211942174,3393.76,141,307.79,5.0,46.65,1.5,104.58
211959223,3745.34,136,320.8,8.0,54.7,0.85,103.41
212000260,3276.68,101,211.17,7.0,52.45,0.71,93.72
212035678,2838.48,161,297.16,7.0,50.42,1.2,100.65
212037156,2690.42,198,283.4,11.0,49.98,0.69,91.54
212160569,2243.45,110,332.51,4.0,47.58,0.66,87.02
212252225,4697.82,130,287.92,6.0,49.81,1.38,94.65
212280540,2809.27,123,336.08,5.0,50.24,0.95,100.33
212315689,3136.0,125,319.33,7.0,48.69,0.85,108.13
212412385,4122.06,108,329.53,8.0,54.48,0.57,112.44
212433413,2891.05,130,154.92,8.0,54.1,1.38,104.56
212487170,3337.59,135,296.04,7.0,56.19,0.72,93.41
212499848,4110.29,105,317.81,8.0,48.56,1.11,93.4
212558760,2207.41,110,362.41,8.0,54.71,0.89,101.79
212578150,3732.23,142,368.2,8.0,51.1,1.09,102.91
212673156,2271.69,143,264.58,6.0,48.11,0.97,105.05
212722334,3353.46,78,351.25,4.0,47.97,0.87,95.84
212778901,2477.35,127,334.55,8.0,53.18,0.88,100.72
212800569,2870.77,149,298.73,4.0,59.07,1.05,102.66
212814735,3269.02,114,312.94,4.0,50.42,1.03,106.93
212944011,2878.05,160,390.08,8.0,54.2,0.84,100.1
212965197,1474.46,108,336.74,4.0,47.6,0.85,97.97
213041892,3005.38,131,424.89,6.0,47.29,0.73,92.97
213090959,3206.28,140,229.49,7.0,43.5,0.87,91.48
213101380,3360.9,99,289.29,4.0,53.33,0.94,113.12
213122270,3197.7,184,177.69,5.0,52.13,0.88,107.74
213122905,2985.42,116,286.35,9.0,43.86,0.54,102.82
213359482,3597.52,135,236.69,6.0,46.52,0.46,104.95
213434497,3620.24,94,311.04,9.0,48.86,1.12,102.14
213458053,2592.03,109,303.94,5.0,43.88,1.24,88.02
213477594,3877.93,177,216.62,8.0,52.88,0.7,99.91
213479078,3375.08,136,383.75,6.0,50.03,1.09,115.69
213530006,2782.26,123,222.19,7.0,55.42,1.16,83.47
213620382,3176.76,109,345.1,5.0,44.88,0.69,100.65
213666218,2787.15,126,269.32,8.0,45.22,1.32,105.05
213703346,3120.79,130,289.19,6.0,52.53,0.72,102.34
213709335,2423.07,71,260.45,6.0,42.08,1.18,100.27
213826613,3098.17,107,285.89,8.0,52.8,0.96,100.99
213833064,2502.88,146,259.01,10.0,46.83,0.94,93.98
213837225,2595.44,108,113.79,5.0,51.76,1.07,97.76
213895177,1844.19,161,227.08,5.0,45.5,0.93,97.72
213927364,2498.53,103,273.25,6.0,47.89,1.14,102.96
213955474,2305.41,133,372.91,8.0,47.5,0.75,101.34
213978672,2797.26,91,261.67,8.0,50.27,0.77,93.97
213991595,3545.4,108,361.03,10.0,50.04,0.83,95.26
213994326,3684.59,137,235.52,6.0,52.34,0.85,100.68
214013715,3382.86,106,312.44,7.0,45.65,0.99,100.08
214026501,3312.94,140,339.56,10.0,47.66,0.84,103.92
214050693,2860.85,124,298.31,9.0,49.68,0.83,94.25
214087524,1738.92,155,182.58,6.0,55.29,0.93,106.41
214118521,2049.26,133,290.72,10.0,45.25,1.11,99.1
214253288,2844.56,151,298.71,9.0,48.44,0.74,108.32
214312541,3116.4,116,344.0,7.0,45.34,1.24,106.61
214321894,1415.31,93,322.4,6.0,49.4,1.45,83.53
214339493,2878.62,168,369.32,9.0,49.09,1.01,98.95
214357407,2679.21,119,347.48,8.0,50.41,1.02,86.08
214358518,2174.05,101,227.78,8.0,43.81,0.87,112.14
214374686,2520.64,104,222.06,9.0,47.46,1.68,105.34
214404037,2261.18,112,307.77,7.0,42.48,0.77,113.92
214581027,3421.21,120,335.16,8.0,45.63,0.67,102.51
214751958,2814.87,107,243.01,9.0,46.92,1.17,92.26
214760731,3509.84,108,265.78,5.0,52.83,1.18,100.41
214782492,2673.08,143,345.88,9.0,50.85,0.6,94.89
214809626,3423.95,91,278.0,8.0,44.03,1.06,119.65
214866340,3418.18,117,306.88,8.0,60.7,1.57,99.07
214876762,3254.16,120,307.59,6.0,45.07,0.77,105.03
214880562,2380.97,192,271.54,7.0,51.52,1.57,86.98
214922477,1935.58,155,373.93,11.0,46.86,0.99,93.22
214964969,3790.11,150,278.38,6.0,43.58,0.52,104.12
215012754,3688.56,80,292.71,8.0,47.08,0.63,109.77
215055591,3532.73,128,233.51,8.0,56.93,0.74,95.14
215062302,3599.09,70,239.89,5.0,50.07,0.96,83.46
215124683,3344.38,73,175.4,7.0,47.6,1.2,98.06
215141942,2311.95,152,178.49,10.0,59.66,1.03,92.71
215142350,3554.17,106,337.33,11.0,51.67,0.65,84.35
215157558,2745.87,124,309.83,10.0,47.38,0.95,98.11
215185617,2628.72,176,280.94,8.0,57.95,0.98,107.28
215216105,3825.01,99,262.07,6.0,43.96,1.08,105.78
215217278,3123.62,127,333.53,8.0,46.54,0.64,102.11
215239951,2570.76,111,360.5,8.0,47.05,1.07,100.93
215282975,2993.19,80,378.47,8.0,48.84,0.88,100.55
215297593,2513.05,113,417.16,7.0,51.11,0.97,91.84
215360438,3480.88,90,262.71,8.0,48.8,1.13,104.84
215426304,2358.61,126,288.49,4.0,56.99,1.33,97.26
215467580,1881.73,112,237.83,8.0,55.8,1.14,103.45
215472377,2121.51,111,195.66,7.0,47.65,0.91,97.24
215578024,3064.55,96,284.51,8.0,44.6,1.02,105.93
215601257,3305.67,98,349.13,10.0,45.03,1.32,95.82
215652896,2636.95,98,374.94,6.0,52.71,0.75,101.66
215741862,2937.41,99,406.96,7.0,52.05,0.86,107.34
215755668,3513.47,159,286.79,5.0,48.05,0.93,95.65
216101524,2776.67,137,308.02,9.0,45.26,0.79,105.84
216108936,2158.4,121,257.48,8.0,48.2,0.97,103.24
216124825,3500.77,130,354.95,7.0,49.61,1.14,98.26
216266306,3861.03,129,338.68,7.0,46.42,1.1,91.49
216371829,1701.07,120,254.64,6.0,51.42,1.18,101.96
216372121,2673.79,127,330.61,10.0,54.03,0.99,103.65
216474613,2740.46,97,330.63,7.0,49.14,0.86,100.8
216644469,4333.41,96,337.21,7.0,53.19,1.06,95.54
216718943,2801.78,110,204.64,10.0,50.24,1.02,101.52
216727608,4347.2,134,331.0,7.0,49.3,1.28,97.33
216734628,4348.87,169,261.75,8.0,49.61,0.79,112.0
216825813,3414.49,93,354.31,5.0,54.26,1.09,95.75
216904531,3120.17,138,345.94,5.0,47.17,1.34,106.34
216910121,2802.49,119,347.13,8.0,49.37,1.01,102.85
216917411,3531.01,147,290.06,4.0,40.41,1.04,100.44
217007575,3497.2,109,198.26,6.0,53.29,0.79,105.76
217077153,3554.92,154,268.19,6.0,50.1,1.06,106.63
217079036,2650.94,121,320.57,4.0,55.1,1.52,112.8
217181512,2938.85,125,247.89,9.0,53.27,0.71,111.4
217236333,2939.74,102,286.96,7.0,55.51,1.42,98.84
217311584,4104.74,95,352.95,6.0,54.53,1.04,98.4
217339154,3362.79,161,250.54,7.0,53.44,1.0,111.77
217389882,2986.44,131,359.19,3.0,49.43,1.14,94.98
217454713,3676.44,152,338.37,9.0,49.18,0.54,105.42
217470810,3096.8,133,235.02,7.0,48.22,1.45,96.4
217504778,3644.5,95,211.54,8.0,54.69,0.84,106.78
217527527,3476.38,73,275.02,11.0,53.18,1.19,82.13
217584794,2356.34,126,315.54,6.0,51.43,0.99,106.28
217645481,2404.83,159,289.64,6.0,54.83,1.18,78.68
217677121,3208.47,133,235.49,8.0,44.91,0.84,92.23
217690061,2348.66,115,351.04,7.0,50.42,0.97,83.92
217771794,3434.93,95,240.4,8.0,51.81,0.93,102.49
217809890,2734.32,115,173.71,5.0,46.99,0.96,101.67
217812878,3777.44,138,247.42,4.0,52.52,0.94,100.79
217849283,3644.3,99,300.14,5.0,56.04,0.81,103.5
217864261,2743.81,122,306.91,4.0,57.52,1.2,90.21
218021974,3536.39,92,191.66,6.0,52.45,0.97,100.1
218028254,3603.64,137,304.48,9.0,46.4,0.52,103.09
218076732,3857.12,137,324.78,4.0,45.2,1.2,100.21
218149428,2676.44,126,292.05,7.0,50.58,0.51,106.09
218174349,2514.19,157,266.14,8.0,52.35,1.55,97.72
218249419,2472.99,140,257.09,6.0,52.88,1.2,106.29
218260093,2919.87,113,355.11,5.0,52.57,1.2,94.06
218332074,2325.55,131,368.46,6.0,47.5,0.99,86.6
218370076,3138.05,142,298.57,6.0,50.32,1.05,115.62
218429087,2692.93,100,128.15,7.0,50.84,0.72,94.66
218476947,3116.71,117,188.7,8.0,47.31,0.89,118.39
218480479,2692.76,115,312.32,9.0,53.26,0.48,101.79
218704117,2826.58,117,262.91,9.0,50.62,1.2,110.13
218711136,3437.06,106,353.32,7.0,46.81,1.26,93.77
218714811,3736.72,129,335.43,7.0,57.12,1.07,109.76
218744568,3423.16,137,277.64,7.0,55.24,0.7,103.51
218760596,3656.58,133,331.5,6.0,50.35,1.04,92.9
218769792,2885.93,95,278.37,9.0,44.38,1.33,100.58
218851295,3700.91,114,311.85,7.0,53.34,1.08,99.92
218904814,3154.61,99,178.37,4.0,47.38,1.09,105.51
218906409,2615.22,108,266.18,6.0,52.89,1.16,95.86
218911902,2139.28,80,270.58,7.0,58.77,1.23,110.4
219008697,3597.08,83,146.87,10.0,53.26,0.73,113.09
219042147,2547.92,146,251.58,4.0,54.14,1.24,113.83
219064961,3454.27,113,258.56,4.0,50.36,0.89,96.17
219261099,3072.36,181,282.03,7.0,55.96,1.14,110.93
219311863,2627.52,57,221.03,6.0,44.44,0.73,104.07
219314352,2843.41,105,214.79,7.0,48.06,1.32,101.48
219330303,2902.67,166,320.9,8.0,44.11,1.0,91.97
219364538,3188.45,115,385.93,5.0,51.76,0.89,83.12
219401759,3105.87,84,446.54,6.0,53.03,0.98,87.8
219451510,4049.72,164,264.88,8.0,52.16,1.31,104.28
219509576,2591.08,144,276.96,8.0,48.37,0.79,101.85
219549997,2691.58,140,277.9,7.0,47.72,0.68,95.71
219604658,3081.45,139,191.45,5.0,47.94,0.69,103.71
219637759,2455.02,117,303.98,8.0,53.66,0.63,95.31
219689437,2531.49,55,298.29,8.0,49.65,1.47,94.43
219716805,2483.04,123,164.9,6.0,48.22,0.74,93.9
219888735,1507.7,127,268.41,7.0,49.56,1.35,100.43
219891087,2903.95,193,233.25,6.0,51.44,1.18,99.01
219905285,2570.78,66,312.37,5.0,52.21,1.29,92.32
219953102,2464.64,106,320.54,5.0,55.38,1.17,109.8
219967636,4170.49,132,332.52,8.0,53.84,1.54,106.05
219996647,3462.86,127,191.57,5.0,46.35,1.03,90.44
230023648,1997.37,86,379.58,8.0,57.06,0.93,115.14
230031192,2632.78,85,266.21,6.0,48.96,1.45,89.25
230052110,1997.08,116,209.53,6.0,54.74,1.24,100.76
230063473,2638.34,118,280.38,6.0,43.59,0.67,92.73
230086589,3130.02,82,317.33,6.0,49.14,1.09,104.05
230137648,3330.38,142,361.33,9.0,49.35,1.36,110.26
230138706,2550.21,83,312.08,8.0,52.38,1.28,104.54
230148112,2356.13,101,360.25,8.0,52.79,1.41,102.63
230201135,3537.61,137,326.18,4.0,53.96,0.94,88.96
230208896,4076.63,122,255.42,6.0,47.82,0.97,98.6
230212940,2810.67,80,204.6,6.0,56.65,0.7,103.59
230226075,3225.57,103,322.06,3.0,58.68,0.71,100.13
230282163,3427.35,111,349.24,6.0,55.94,1.25,90.04
230289984,3311.21,147,181.81,11.0,50.38,0.72,86.64
230356442,2358.15,146,231.24,7.0,57.96,0.84,97.53
230410405,3461.91,118,405.98,6.0,45.75,0.92,106.39
230471804,3627.19,54,438.0,8.0,43.88,1.05,107.5
230584778,2416.48,101,223.33,8.0,47.13,0.78,101.04
230635169,3299.34,65,217.21,8.0,50.78,1.09,97.56
230639596,4169.37,95,321.94,6.0,56.01,0.56,106.84
230659648,3608.11,114,328.56,6.0,54.12,1.11,99.36
230670623,3817.56,91,234.57,9.0,45.59,0.54,101.29
230728693,2972.01,116,131.26,8.0,53.83,0.58,101.92
230764484,2481.94,115,352.11,10.0,48.9,0.65,99.33
230851743,2485.32,116,314.6,6.0,52.92,0.33,108.13
230898886,3196.57,100,425.33,5.0,54.3,1.15,108.33
230945028,2914.3,155,323.44,8.0,53.19,1.02,104.3
230949354,2515.43,99,384.15,8.0,56.84,1.0,115.94
230950198,2794.01,101,278.58,5.0,47.3,0.98,87.92
230996612,2760.99,85,244.56,4.0,53.74,0.91,106.09
231002557,3335.24,103,172.14,5.0,53.25,0.89,102.02
231009672,3683.41,116,245.75,7.0,51.28,1.11,98.22
231108312,2229.7,103,309.14,11.0,57.77,0.95,101.6
231191975,2994.54,130,350.27,8.0,53.1,0.62,100.92
231225614,2289.7,103,216.5,9.0,51.98,0.83,95.03
231268598,2944.13,179,349.98,9.0,51.62,1.06,111.57
231294984,2879.0,123,284.49,12.0,49.13,0.76,98.74
231504232,3609.85,94,241.65,4.0,47.14,0.74,96.98
231538367,2370.58,74,312.95,7.0,45.73,1.0,100.27
231571822,3605.19,125,301.09,11.0,47.04,1.12,104.08
231593127,2311.92,94,361.43,10.0,54.71,1.07,108.25
231625967,1659.21,119,217.54,8.0,55.71,1.12,94.23
231686370,2960.84,97,236.41,6.0,58.0,1.0,98.85
231739277,2915.62,113,320.4,4.0,49.94,1.02,90.38
231749149,2827.04,114,293.1,8.0,46.84,0.93,101.73
231765728,3042.11,104,269.68,6.0,45.09,1.13,123.58
231790817,4269.73,109,238.63,6.0,52.95,0.58,107.16
231823730,2573.87,94,262.5,6.0,52.61,0.95,111.19
231999066,2159.56,106,408.1,6.0,47.1,0.67,104.03
232072033,3574.25,117,284.02,4.0,52.7,1.0,101.22
232261556,3973.09,147,240.86,8.0,52.63,0.76,95.68
232310134,2676.9,115,357.24,4.0,50.84,0.83,99.59
232380107,2536.51,110,258.39,6.0,46.91,0.87,99.65
232430625,2684.88,130,242.93,10.0,48.1,1.01,90.23
232434677,2803.2,116,236.86,8.0,50.4,1.18,94.34
232533709,3309.44,111,353.42,8.0,55.62,0.8,104.32
