customer_id,month,data_usage_mb,login_attempts,bill_amount,payment_delay_days,network_latency_ms,packet_loss_percent,download_speed_mbps,churn_next_month
10,1,235.16,18,58.65,3,52.85,0.15,90.56,0
10,2,198.7,22,60.25,8,65.26,1.83,82.49,0
10,3,194.2,19,57.05,9,45.09,0.78,84.86,0
10,4,177.29,21,58.54,14,42.29,1.07,119.01,0
10,5,198.65,18,52.78,12,54.92,1.88,133.69,0
10,6,250.67,20,69.06,6,60.37,0.82,97.84,0
11,1,602.53,21,52.78,2,51.1,0.27,106.85,0
11,2,653.21,19,50,4,51.93,1.45,87.11,0
11,3,600.26,13,41.93,2,43.51,0.55,106.66,0
11,4,463.33,15,55.92,10,47.32,0.62,88.73,0
11,5,707.08,14,34.43,10,46.1,0.43,121.17,0
11,6,578.07,14,42.7,3,29.61,1.09,117.32,1
12,1,713.63,22,58.31,7,55.86,0.09,69.54,0
12,2,709.37,21,47.58,14,36.28,0.26,107.33,0
12,3,664.9,21,54.04,2,39.41,1.03,101.52,0
12,4,721.4,20,49.83,11,44.71,0.7,101.02,0
12,5,583.3,20,52.49,0,55.13,1.01,97.96,0
12,6,716.32,26,52.45,13,62.05,0.31,103.56,0
13,1,483.83,26,55.41,2,51.27,1.43,100.57,0
13,2,447.87,28,46.04,5,50.79,1.07,83.79,0
13,3,487.14,27,48.81,0,49.52,0.42,84.54,0
13,4,507.39,22,50.55,9,59.11,1.58,82.52,0
13,5,615.2,26,47.22,7,60.15,0.86,92.24,0
13,6,566.27,20,51.2,10,36.9,0.71,100.55,0
14,1,437.36,17,40.59,4,41.69,1.96,95.22,0
14,2,406.1,17,48.89,5,57.55,1.34,101.99,0
14,3,351.47,14,48.32,5,55.43,1.94,81.81,0
14,4,445.73,10,40.75,9,67.09,1.54,100.26,0
14,5,425.04,12,35.4,0,54.77,0.74,141.34,0
14,6,364.92,17,40.01,1,52.3,0.18,98.57,1
15,1,512.88,28,50.82,1,48.55,0.36,101.73,0
15,2,537.07,27,49.43,10,52.54,1.59,90.25,0
15,3,498.4,29,56.33,13,45.79,0.72,94.6,0
15,4,466.17,22,59.98,12,63.01,0.6,100.37,0
15,5,495.03,26,55.45,1,47.81,1.09,104.71,0
15,6,404.75,23,51.43,14,61.44,1.76,134.12,1
16,1,594.42,18,60.59,0,68.41,0.21,55.1,0
16,2,709.87,16,54.84,4,40.66,0.97,128.29,0
16,3,598.37,12,59,3,48.65,1.43,123.64,0
16,4,591.41,14,49.7,7,53.26,0.85,116.27,0
16,5,583.57,16,60.57,11,45.6,1.19,124.1,0
16,6,565.51,11,54.86,12,48.17,0.21,93.41,1
17,1,568.77,21,37.83,4,36.41,0.67,79.76,0
17,2,583.04,14,54.45,6,50.73,0.69,93.28,0
17,3,528.9,15,45.84,5,34.97,0.35,46.06,0
17,4,530.34,18,48.69,9,56.96,0.03,79.66,0
17,5,501.93,20,38.05,0,48.35,0.6,82.58,0
17,6,609.37,13,51.94,12,46.7,0.76,106.06,0
18,1,603.07,18,67.26,0,49.82,0.67,102.19,0
18,2,549.17,16,73.3,11,47.06,1.6,94.86,0
18,3,442.36,21,73.23,10,53.41,1.01,65.83,0
18,4,571.62,22,68.49,1,51.73,1.61,100.26,0
18,5,438.82,16,70.51,6,40.99,1.27,113.78,0
18,6,591.85,15,65.64,14,59.58,1.25,120.1,1
19,1,600.77,20,50.03,10,52.57,1.79,93.29,0
19,2,726.28,19,43.8,8,56.72,0.28,74.23,0
19,3,537.04,13,45.93,4,55.52,1.3,90.62,0
19,4,699.55,21,47.33,4,65.7,0.35,96.84,0
19,5,637.7,14,49.34,11,26.3,1.92,95.5,0
19,6,630.05,20,42.71,2,54.32,1.9,110.4,1
20,1,336.32,16,57.62,8,52.33,1.54,99.3,0
20,2,293.17,21,53.62,2,68.12,1.64,112.65,0
20,3,355.61,17,51.86,4,34.3,0.18,98.51,0
20,4,333.41,22,54.16,2,36.65,1.46,111.2,0
20,5,366.22,23,49.8,1,54.59,0.98,108.59,0
20,6,338.1,24,54.03,6,37.23,0.07,78.38,0
21,1,542.65,21,44.72,2,55.01,1.39,125.12,0
21,2,603.56,20,41.77,3,45.6,1.58,120.64,0
21,3,626.26,21,43.26,6,58.9,0.92,91.25,0
21,4,742.79,28,38.77,9,43.5,0.18,105.74,0
21,5,519.84,21,52.38,3,47,1.43,68.17,0
21,6,600.65,23,53.21,11,41.17,1.91,87.03,1
22,1,559.34,8,49.57,12,55.97,0.24,97.44,0
22,2,606.58,11,54.42,14,55.08,0.43,150.03,0
22,3,498.2,8,48.75,1,51.77,0.98,144.71,0
22,4,470.87,14,53.75,2,41.22,1.91,105.72,0
22,5,616.08,7,48.92,7,70.1,0.51,100.91,0
22,6,628.53,8,52.74,7,50.36,1.32,122.07,1
23,1,586.94,19,53.88,4,40.5,1.36,127.64,0
23,2,601.81,15,54.95,13,51.47,1.82,83.78,0
23,3,642.79,18,47.28,14,31.07,0.75,92.18,0
23,4,607.84,12,47.12,14,46.7,0.78,111.14,0
23,5,582.39,14,47.62,1,54.92,1.89,109.81,0
23,6,598.47,16,60.19,9,68.47,0.15,88.27,1
24,1,323.84,16,69.66,0,37.75,0.2,101.78,0
24,2,302.36,14,68.19,14,58.77,1.36,74.39,0
24,3,362,17,71.58,10,49.01,1.93,93.13,0
24,4,273.66,18,62.39,14,38.29,1.49,107.08,0
24,5,354.61,20,66.11,11,67.21,0.37,106.85,0
24,6,357.98,16,67.37,6,54.48,1.25,103.93,1
25,1,329.01,17,52.33,11,46.84,0.13,68.17,0
25,2,365.2,9,57.6,7,59.96,0.93,81.26,0
25,3,457.69,14,49.26,8,57.42,0.08,80.66,0
25,4,396.75,14,49.64,11,38.42,1.4,95.58,0
25,5,407.35,9,48.1,8,29.58,0.7,79.97,0
25,6,486.81,10,54.13,14,56.41,0.4,127.99,1
26,1,652.22,27,54.57,10,60.89,1.79,126.35,0
26,2,784.96,29,51.16,11,43.11,1.46,86.97,0
26,3,665.18,27,50.71,13,54.24,0.67,110.46,0
26,4,679.98,22,54.18,5,71.42,1.44,100.76,0
26,5,711.87,26,55.34,14,39.77,0.41,93.27,0
26,6,676.61,28,57.42,3,55.03,1.26,117.48,1
27,1,673.66,17,71.58,3,34.56,0.84,113.05,0
27,2,669.06,16,71.76,2,63.8,1.55,133.14,0
27,3,525.95,17,75.78,6,64.44,0.83,97.85,0
27,4,585.23,23,81.06,6,41.52,0.72,76.89,0
27,5,613.94,17,75.92,2,49.13,1.31,122.15,0
27,6,517.43,18,80.73,5,47.28,0.34,58.1,0
28,1,326.91,25,56.1,10,46.51,1.47,93.57,0
28,2,363.44,22,43.46,11,54.3,1.08,93.57,0
28,3,351.8,19,49.58,5,45.22,0.36,134.32,0
28,4,320.29,18,51.15,8,25.45,1.28,97.33,0
28,5,239.3,22,46.32,3,79.38,0.25,101.28,0
28,6,324.62,23,39.62,7,45.73,0.31,116.1,0
29,1,508.39,18,53.07,8,55.07,1.38,78.47,0
29,2,435.24,15,48.47,8,66.31,0.21,120.1,0
29,3,506.75,19,45.06,10,64.35,1.76,66.3,0
29,4,542.06,12,48.43,12,55.7,1.6,125.8,0
29,5,495.74,19,41.51,4,39.71,0.65,74.44,0
29,6,445.46,19,46.73,0,65.53,0.48,74.14,1
30,1,713.29,18,54.19,5,46.75,1.83,101.79,0
30,2,656.7,23,69.2,5,33.66,1.49,103.59,0
30,3,650.67,21,67.75,11,62.62,1.91,76.27,0
30,4,659.36,19,71.83,1,35.9,0.33,109.23,0
30,5,690.32,19,63.96,7,52.07,0.62,130.29,0
30,6,634.04,25,62.85,13,34.13,0.36,80.62,0
31,1,438.88,22,51.05,5,55.52,1.1,102.5,0
31,2,445.98,21,49.88,4,55.43,1.77,85.96,0
31,3,369.73,25,55.07,7,67.5,1.54,67.64,0
31,4,493.36,19,56.6,11,40.87,1.34,111.73,0
31,5,427.62,20,58.66,14,38.72,0.47,98.39,0
31,6,374.27,20,47.25,14,51.44,0.46,111.17,1
32,1,528.9,18,49.04,5,59.23,0.89,120.85,0
32,2,362.84,15,46.56,12,60.46,0.16,88.37,0
32,3,412.83,12,43.86,12,37.76,1.04,104.68,0
32,4,461.83,14,45.59,11,58.34,0.65,124.55,0
32,5,528.92,12,55.11,7,54.19,1.16,126.22,0
32,6,428.95,17,45.56,6,38.1,1.51,126.28,1
33,1,506.74,16,46.07,7,53.93,1.51,102.67,0
33,2,426.17,18,39.15,0,59.57,0.45,76.87,0
33,3,329.75,15,46.35,10,42.81,1.65,103.87,0
33,4,409.03,19,52.67,3,64.02,0.42,91.23,0
33,5,419.19,18,45.07,13,56,0.16,76.24,0
33,6,338.94,18,47.82,1,63.13,1.28,95.5,0
34,1,498.01,24,57.24,5,36.88,0.29,87.81,0
34,2,500.33,19,57.02,1,55.3,0.56,100.98,0
34,3,431.88,20,50.78,2,34.37,0.38,98.42,0
34,4,529.79,24,56.67,6,63.74,0.48,87.73,0
34,5,478.09,19,64.13,3,51.7,1.99,108.74,0
34,6,544.98,21,64.81,6,35.15,1.45,91.35,0
35,1,558.95,21,26.34,1,48.98,0.27,127.39,0
35,2,625.5,22,25.79,6,57.94,1.24,118.7,0
35,3,478.31,19,24.45,12,55.13,0.09,72.24,0
35,4,537.53,21,23.84,4,72.18,0.98,91.13,0
35,5,529.39,23,27.22,12,67.12,0.79,129.42,0
35,6,504.58,15,25.82,1,60.4,0.88,113.56,1
36,1,504.99,17,60.51,11,57.99,0.9,99.4,0
36,2,530.82,19,56.5,7,62.28,0.21,100.2,0
36,3,452.71,20,50.32,10,27.28,1.94,78.47,0
36,4,553.93,24,55.43,9,51.88,0.04,119.92,0
36,5,420.08,18,61.99,2,65.01,0.24,126.56,0
36,6,513.96,18,68.21,9,71.65,1.6,129.11,0
37,1,501.59,18,59.89,8,30.34,0.33,106.3,0
37,2,551.54,9,66.4,7,70.43,1.98,75.75,0
37,3,536.33,10,60.02,4,55.49,1.51,124.27,0
37,4,598.26,14,60.3,5,57.34,1.97,98.11,0
37,5,594.46,11,69.24,6,55.78,1.68,106.18,0
37,6,565.87,14,56.44,2,76.02,0.3,103.25,0
38,1,407.64,19,51.76,7,53.42,0.39,106.78,0
38,2,435.68,22,44.62,10,41.42,0.38,123.93,0
38,3,373.98,25,50.91,9,50.15,0.07,84.3,0
38,4,374.64,18,37.2,14,54.2,0.61,83.66,0
38,5,410.14,18,43.92,9,53.39,0.78,133.62,0
38,6,439.01,19,46.19,0,44.27,1.18,144.29,1
39,1,705.41,18,65.97,0,55.93,1.27,109.1,0
39,2,681.87,18,60.73,12,45.06,0.29,85.66,0
39,3,650.08,24,64.65,11,48.78,0.6,109.11,0
39,4,587.83,21,60.37,14,49.84,1.68,123.97,0
39,5,591.54,25,78.44,1,53.49,0.33,114.36,0
39,6,738.2,18,72.7,4,57.35,0.11,91.77,1
40,1,405.44,20,19.65,6,64.28,0.99,133.23,0
40,2,329.87,22,21.85,14,54.69,1.85,93.62,0
40,3,404.3,23,25.51,5,43.07,0.86,90.4,0
40,4,368.68,17,16.28,1,48.31,1.81,102.03,0
40,5,271.84,15,20.05,7,39.73,1.1,123.2,0
40,6,387.1,18,18.42,9,62.54,1.96,108.92,1
41,1,342.66,18,39.44,6,66.29,1.37,107.49,0
41,2,348.43,18,39.7,6,36.03,1.42,83.45,0
41,3,319.42,14,43.78,4,20.79,1.89,108.73,0
41,4,254.88,16,40.38,5,39.9,0.58,93.96,0
41,5,376.65,12,37.45,14,49.78,0.99,116.85,0
41,6,452.17,13,35.08,5,52.75,0.04,107.15,1
42,1,644.84,16,50.04,9,43.03,1,105.98,0
42,2,636.94,18,46.61,4,61.48,1.93,102.27,0
42,3,704.22,19,60.2,4,43.32,1.27,91.05,0
42,4,661.65,25,58.95,11,58.53,1.39,87.13,0
42,5,641.52,23,58.52,4,45.96,1.47,88.99,0
42,6,615.29,16,50.72,14,61.42,0.97,107.35,1
43,1,387.61,20,52.46,12,37.43,0.67,109.68,0
43,2,428.11,26,59.05,10,45.71,1.8,73.44,0
43,3,450.65,27,51.34,4,44.33,0.23,104.87,0
43,4,456.66,20,63.71,14,48.31,0.38,77.16,0
43,5,492.93,20,59.57,0,55.13,0.25,76.42,0
43,6,390.58,24,51.26,5,52.01,1.71,111.73,0
44,1,689.02,18,63.86,11,36.83,0.47,105.64,0
44,2,618.62,20,64.36,13,38.61,1.73,56.55,0
44,3,610.82,22,57.95,13,49.09,1.84,114.19,0
44,4,663.24,24,65.56,2,47.4,1.61,81.29,0
44,5,610.79,18,62.77,13,58.08,0.44,66,0
44,6,674.86,23,53.76,3,41.14,0.13,76.04,0
45,1,474.62,21,73.72,4,45.04,1.04,81.45,0
45,2,604.68,27,73.73,0,55.01,0.05,89.64,0
45,3,552.12,28,66.96,2,58.76,1.79,142.1,0
45,4,617.01,22,70.02,3,67.5,1.35,92.75,0
45,5,511.12,26,73.5,8,40.69,1.01,87.55,0
45,6,518.79,25,64.56,9,36.8,1.81,96.3,1
46,1,853.87,20,41.17,0,42.97,0.02,93.82,0
46,2,745.6,24,42.02,10,63.4,0.09,116.59,0
46,3,772.13,19,45.28,2,44.25,1.76,91.28,0
46,4,714.97,15,44.03,7,51.13,0.84,116.63,0
46,5,768.25,15,47.61,12,65.31,1.44,116.21,0
46,6,770.58,15,40.84,14,37.95,1.33,103.87,1
47,1,568.58,21,71.31,1,39.35,1.78,101.11,0
47,2,464.42,17,59.16,10,46.83,1.48,125.64,0
47,3,495.33,12,62.24,6,69.01,1.15,60.81,0
47,4,522.25,16,57.74,5,62.87,1.7,85.23,0
47,5,535.38,13,60.86,2,51.31,0.9,129.92,0
47,6,475.57,19,53.43,6,46.54,1.02,108.98,1
48,1,586.45,13,35.2,0,45.02,1.35,67.42,0
48,2,617.33,14,30.93,4,45.38,0.46,100.56,0
48,3,434.4,18,28.66,10,35.49,0.29,78.08,0
48,4,502.08,17,30.69,2,60.71,1.78,123.46,0
48,5,517.4,18,19.81,3,54.48,1.96,152.66,0
48,6,496.95,19,33.08,2,43.23,0.71,110.86,0
49,1,641.25,18,62.52,12,51.66,0.89,95.89,0
49,2,717.92,19,44.47,7,58.99,1.24,91.04,0
49,3,701.82,14,59.7,5,44.32,0.46,105.32,0
49,4,685.24,11,44.99,7,52.8,0.55,97.51,0
49,5,702.66,16,44.63,14,53.91,0.6,165.09,0
49,6,612.59,19,49.17,2,69.36,1.15,123.88,0
50,1,545.82,11,36.19,0,61.34,1.79,111.87,0
50,2,588.36,12,56.4,5,51.95,1.38,119.04,0
50,3,535.06,12,53.46,8,42.53,0.56,119.06,0
50,4,591.82,11,54.67,14,55.16,0.29,116.01,0
50,5,615.01,14,46.49,2,57.08,1.23,99.47,0
50,6,547.41,16,50.22,10,42.55,0.7,102.14,0
51,1,343.6,8,55.31,1,59.38,1.42,77.97,0
51,2,296.68,13,53.53,13,60.28,0.3,123.01,0
51,3,236.77,11,53.81,2,52.58,0.72,82.91,0
51,4,311.04,16,56.22,9,60.04,1.64,141.04,0
51,5,184.46,10,65.93,4,68.01,1.61,121.2,0
51,6,330.26,8,50.09,11,44.91,0.99,86.11,1
52,1,394.46,20,51.1,0,61.26,0.26,121.39,0
52,2,480.31,14,49.31,12,51.51,0.84,112.07,0
52,3,399.92,18,52.21,9,53.42,1.13,83.15,0
52,4,464.89,16,46.13,0,46.4,0.56,107.65,0
52,5,549.44,16,50,9,45.9,0.21,51.5,0
52,6,433.73,13,43.52,13,61.12,1.54,104.4,1
53,1,474.35,27,63.35,12,55.73,0.07,113.46,0
53,2,435.49,26,73.99,11,44.13,0.1,93.13,0
53,3,376.47,23,59.16,12,51.54,0.12,100.82,0
53,4,453.92,25,50.98,5,44.87,0.67,95.64,0
53,5,455.83,26,63.96,3,25.9,0.02,110.76,0
53,6,517.78,24,71.91,6,52.16,1.55,102.42,0
54,1,572.38,12,56.17,8,65.49,0.74,103.3,0
54,2,575.95,17,51.78,7,52.44,0.92,67.98,0
54,3,562.12,15,56.18,11,33.57,0.12,110.74,0
54,4,557,18,51.22,11,43.5,1.24,77.26,0
54,5,568.36,12,58.51,14,53.78,0.33,122.46,0
54,6,559.72,14,54,11,54.16,1.08,103.31,1
55,1,415.06,12,58.65,14,42.81,0.71,113.09,0
55,2,513.6,13,57.51,13,65.68,1.73,119.07,0
55,3,457.58,12,59.28,10,54.03,0.78,84.77,0
55,4,498.05,18,60.04,10,72.78,1.96,68.04,0
55,5,600.73,17,57.83,5,36.37,1.24,108.52,0
55,6,467.44,18,51.26,13,54.88,1.44,114.4,1
56,1,554.14,28,32.55,14,47.93,1.27,86.09,0
56,2,546.69,24,36.88,4,57.14,0.49,117.68,0
56,3,522.86,27,39.18,12,56.15,0.96,85.38,0
56,4,437.98,19,28.39,1,45.77,1.98,124.89,0
56,5,579.53,19,41.26,9,47.26,1.75,109.74,0
56,6,545.29,27,46.48,12,41.35,0.86,109.84,1
57,1,663.64,15,46.33,9,44.65,1.78,71.63,0
57,2,549.62,15,48.81,13,39.7,0.41,100.22,0
57,3,655.91,16,48.97,14,46.31,0.66,120.74,0
57,4,545.02,17,36.93,0,54.23,1.08,88.54,0
57,5,627.14,13,40.15,8,24.42,1.95,85.37,0
57,6,541.13,11,49.37,5,42.51,1.46,124.35,0
58,1,304.2,18,50.34,3,54.62,1.97,88.05,0
58,2,414.36,19,43.89,14,59.79,1.51,65.03,0
58,3,311.18,13,44.88,3,73,1.9,81.51,0
58,4,400.25,21,48.2,2,53.12,0.74,121.64,0
58,5,368.22,19,46.61,9,49.26,1.46,91.55,0
58,6,300.62,18,48.93,5,55.4,1.33,114.75,1
59,1,351.66,15,53.32,2,47.8,1.56,105.12,0
59,2,365.73,21,54.98,3,53.63,1.12,137.65,0
59,3,426.45,19,54.69,0,69.28,0.62,79.26,0
59,4,321.31,18,58.98,11,52.3,0.58,107.53,0
59,5,279.49,22,51.73,6,57.72,1.14,101.39,0
59,6,261.83,15,62.6,5,38.98,0.67,87.41,1
60,1,408.02,20,63.6,3,48.37,1.96,114.02,0
60,2,442.83,19,54.53,12,46.4,0.2,80.72,0
60,3,446.82,23,54.7,13,49.51,1.04,95.39,0
60,4,474.14,22,56.07,0,60.35,0.69,70.07,0
60,5,425.46,15,61.5,11,35.5,1.1,83.65,0
60,6,370.34,19,55.26,3,53.45,0.59,103.95,0
61,1,410.98,19,59.65,10,65.38,0.54,120.35,0
61,2,397.62,18,57.59,5,53.41,1.25,89.93,0
61,3,300.92,17,65.59,0,65.41,1.08,115.16,0
61,4,328.47,16,64.15,0,56.98,1,83.31,0
61,5,387.56,14,50.68,12,52.98,1.03,105.28,0
61,6,431.02,18,61.14,6,60.36,0.4,107.18,1
62,1,418.26,14,44.29,13,42.84,1.21,88.4,0
62,2,446.61,19,43.56,13,54.72,0.79,66.46,0
62,3,401.94,17,36.19,10,64.7,1.08,84.28,0
62,4,436.81,19,46.56,10,57.22,0.91,73.23,0
62,5,391.33,15,47.39,1,67.19,1.3,89.01,0
62,6,402.27,15,39.65,5,49.55,1.01,99.72,0
63,1,490.24,18,47.94,0,45.08,0.37,115.81,0
63,2,553.74,16,42.11,3,59.68,0.58,78.3,0
63,3,672.66,18,48.98,12,62.45,0.71,109.64,0
63,4,552.65,18,42.34,3,47.45,1.26,71.8,0
63,5,488.28,22,46.31,5,39.08,1.11,71.99,0
63,6,546.09,14,54.19,11,58.47,1.72,92.21,0
64,1,526.49,10,45.33,6,47.05,0,119.52,0
64,2,485.08,10,34.44,13,50.55,0.04,85.81,0
64,3,536.51,18,37.91,9,46.92,1.22,72.45,0
64,4,598.43,10,49.34,13,70.88,1.74,83.06,0
64,5,509.5,11,41.02,2,56.48,1.09,92.82,0
64,6,554.02,14,36.71,12,53.01,0.67,108.67,1
65,1,570.86,11,42.09,10,49.5,0.14,152.42,0
65,2,659.05,19,48.31,5,59.97,1.45,124.89,0
65,3,603.92,13,54.8,11,53.38,0.67,95.22,0
65,4,602.53,13,45.37,10,47.02,0.15,124.75,0
65,5,583.7,18,43.91,5,50.58,0.96,111.44,0
65,6,593.58,11,47.69,12,61.8,0.9,105.85,1
66,1,380.66,21,43.38,10,64.57,1.31,113.03,0
66,2,414.84,19,46.17,12,49.93,0.21,102.08,0
66,3,496.69,24,56.6,9,27.91,1.52,83.98,0
66,4,363.35,23,41.73,12,63.07,0.32,112.79,0
66,5,498.37,27,54.37,4,46.42,1.08,84.14,0
66,6,506.95,25,45.63,7,43.44,0.63,84.84,1
67,1,456.17,19,63.3,6,65.19,1.32,86.84,0
67,2,446.97,15,54.55,2,58.9,1.27,76.49,0
67,3,531.42,13,61.71,6,40.52,0.53,120.89,0
67,4,537.19,15,66.2,7,57.6,0.18,81.01,0
67,5,478.56,15,60.8,5,49.34,0.83,119.6,0
67,6,483.79,17,55.41,7,64.21,1.47,137.93,1
68,1,696.86,23,52.91,2,38.24,0.04,124.3,0
68,2,483.79,27,61.47,2,56.41,0.03,79.37,0
68,3,576.14,32,48.26,2,38.91,1.88,64.97,0
68,4,541.09,25,50.54,10,48.31,1.35,104.67,0
68,5,627.12,24,67,6,51.99,1.24,89.75,0
68,6,559.34,28,59.48,0,20.71,0.92,100.13,0
69,1,466.34,27,62.36,8,56.52,1.29,132.17,0
69,2,438.49,28,71.77,11,62.78,0.08,73.58,0
69,3,447.28,28,64.18,5,37.32,1.37,104.86,0
69,4,515.45,22,61.83,3,53,0.16,91.61,0
69,5,537.65,28,61.89,9,57.56,0.17,118.63,0
69,6,472.84,27,68.05,12,57.99,1.95,79.74,0
70,1,468.79,22,33.96,13,51.57,0.26,83.6,0
70,2,521.52,27,44.92,13,39.94,0.61,128.69,0
70,3,379.99,21,41.32,1,46.99,0.54,65.96,0
70,4,409.04,25,40.73,12,60.52,0.47,92.37,0
70,5,508.14,21,45.07,4,38.61,0.34,103.99,0
70,6,415.24,24,45.14,10,47.22,1.13,92.81,1
71,1,341.1,23,38.57,14,49.75,0.61,76.28,0
71,2,410.52,19,54.21,11,66.41,1.55,91.72,0
71,3,444.63,17,48.42,8,51.37,1.88,100.33,0
71,4,488.72,22,48.87,2,46.07,1.32,104.11,0
71,5,402.11,25,50.55,13,42.91,1.81,134.58,0
71,6,438.31,22,51.03,3,50.38,1.94,101.91,1
72,1,533.93,20,44.99,7,58.29,1.12,124.93,0
72,2,508.02,19,59.14,13,57.39,1.98,149.59,0
72,3,597.96,24,44.76,1,55.28,0.11,73.61,0
72,4,542.54,15,44.46,7,33.35,0.97,81.27,0
72,5,537.87,21,50.09,4,48.13,0.93,87.86,0
72,6,385.88,15,54.74,13,45,2,89.48,0
73,1,441.13,19,36.63,6,58.87,1.25,114.46,0
73,2,472.52,23,39.33,14,57.57,0.93,102.62,0
73,3,484.12,24,43.22,13,65.56,0.11,138.25,0
73,4,453.99,19,42.06,4,35.73,1.67,96.03,0
73,5,496.16,17,30.69,5,41.82,0.18,87.7,0
73,6,390.23,16,47.41,14,37.68,0.08,124.17,1
74,1,329.4,17,38.41,10,50.93,0.68,138.85,0
74,2,336.08,19,36.73,9,55.79,0.56,91.43,0
74,3,440.07,24,42.32,7,52.3,0.75,78.09,0
74,4,436.35,18,38.97,2,54.85,0.49,141.51,0
74,5,480.35,26,44.33,2,58.16,1.81,111.32,0
74,6,470.88,26,43.8,14,38.83,0.8,94.6,0
75,1,478.7,15,45.26,4,47.41,1.47,63.59,0
75,2,321.94,13,44.44,14,49.31,0.87,118.23,0
75,3,480.73,13,50.28,10,41.54,1.86,105.28,0
75,4,454.17,11,44.38,9,52.89,0.65,97.55,0
75,5,361.04,17,46.92,10,74.12,1.96,130.33,0
75,6,421.15,16,51.87,9,47.88,1.58,107.85,1
76,1,561.57,15,42.45,14,51.26,1.15,108.32,0
76,2,650.47,16,48.54,5,54.43,1.79,90.23,0
76,3,640.85,11,46.11,5,43.69,0.93,124.68,0
76,4,609.03,16,44.49,12,36.99,0.77,62.61,0
76,5,646.33,19,43.15,1,54.49,0.07,50.23,0
76,6,659.49,12,47.29,3,40.18,1.12,93.15,0
77,1,515.84,27,43.07,2,43.7,0.81,108.07,0
77,2,448.6,25,49.14,0,63.8,0.89,104.16,0
77,3,438.6,27,39.47,7,53,0.31,76,0
77,4,534.32,29,39.65,7,60.18,1,107.07,0
77,5,595.19,26,42.68,13,64.29,1.5,139.8,0
77,6,607.99,30,39.07,4,44.97,0.02,105.09,0
78,1,336.03,23,50.01,10,52.03,1.12,110.76,0
